DEPTH, NO 6507/7-A-22,NO 6507/7-A-28,NO 6507/7-A-29,NO 6507/7-A-40,NO 6507/7-A-52,NO 6507/7-A-9
342,68.5747,68.6824,95.18,99.0102,55.499,76.2406
343,86.6608,62.3767,94.74,56.7352,50.757,61.5144
343.5,89.0005,66.2975,98.21,54.6165,53.69,68.4065
345.75,55.4587,56.3078,99.07,67.5298,63.486,77.5452
348.25,48.5253,59.655,97.34,45.6553,54.938,45.6142
349.25,25.0841,64.5925,102.53,30.9158,53.69,47.8968
351.75,76.3064,67.5242,93.88,78.8439,74.178,83.8911
353,85.0368,79.0792,89.12,80.1972,66.232,80.326
354.5,70.0809,65.6316,89.55,76.3556,59.555,65.2175
356,43.569,59.3724,86.52,41.7655,64.984,63.5624
357,72.6425,63.83,89.12,59.6882,59.971,42.045
361.75,44.4393,70.9036,92.58,53.2618,51.922,43.4548
362.25,38.6687,74.0859,92.36,42.4523,62.259,48.0176
363.25,51.3322,84.7184,89.12,38.7773,57.558,57.4784
365.25,51.6596,61.4961,86.52,32.0883,55.874,68.785
365.75,60.4409,67.5032,86.09,37.0778,48.531,61.649
366.25,61.1286,70.3631,86.52,50.8096,62.883,67.559
368.5,51.973,63.994,95.61,58.1299,50.757,48.7297
370,44.0675,59.2437,90.85,61.483,45.453,70.0225
370.5,45.7585,62.1178,94.74,63.7287,50.091,69.4286
371.5,55.3105,63.1552,94.74,65.0263,40.294,68.0275
373,72.591,62.0784,94.31,42.9312,50.424,48.0522
376.25,51.2758,63.2301,92.8,46.2827,38.214,52.2681
388,75.4508,62.3423,58.0763,45.1414,60.325,66.3101
389.75,72.2027,60.225,56.4292,29.6714,58.078,65.237
390.25,71.3374,62.8355,58.1722,43.8655,54.106,70.68
390.75,69.8322,62.8174,60.1994,43.505,57.454,73.2988
391,66.6886,59.1175,63.6438,35.4249,59.41,71.7294
391.5,68.1574,48.8566,61.948,46.6232,59.555,75.6084
392.5,73.8534,60.6426,69.4678,35.0649,65.4,70.236
393.25,56.9629,75.7472,74.0051,29.551,57.454,70.1861
393.75,63.4634,79.9989,75.3396,14.0399,55.77,71.3867
394,67.7868,80.2146,77.6538,13.0887,69.893,74.7286
394.25,71.9613,79.657,77.1344,10.1377,59.659,68.6484
395,72.0312,75.934,74.6467,24.8794,75.862,86.2869
395.5,61.2528,74.7525,74.1746,10.1415,75.862,75.9168
396.75,77.2824,63.5268,80.9819,35.6017,73.346,86.1019
397.25,72.0211,59.7788,81.5737,43.2736,79.627,70.0761
397.75,69.5507,63.0672,76.3462,43.1538,62.467,64.149
398.5,92.103,72.1017,73.911,38.5797,61.635,54.5984
399.5,113.4034,73.7491,79.2206,51.315,69.997,47.4251
399.75,114.5484,72.9247,79.1969,54.5508,69.997,50.8653
400.25,102.6557,74.6389,77.7646,77.1557,75.738,62.3143
400.75,97.2364,79.7423,75.7877,98.4197,71.682,65.8138
401,85.8602,82.1926,82.1938,93.0317,76.694,74.1043
401.25,82.1572,83.031,76.9903,83.3727,69.83,67.9599
401.5,87.8701,81.1066,79.2935,87.6469,69.83,69.0423
402.5,88.6305,57.5349,87.1177,96.7959,66.232,68.3428
403.25,90.2612,51.8416,84.7161,87.2123,56.331,65.3132
403.75,110.6725,56.7073,85.4965,52.1236,54.272,70.5883
404,118.7367,57.4564,59.124,65.4961,49.405,75.2033
404.25,121.9199,56.6687,84.6827,54.7556,53.274,66.8926
404.5,117.4979,54.5474,76.2574,57.8237,53.274,65.4144
406.25,148.5949,45.8017,67.0389,64.3956,47.408,76.4325
406.75,179.6498,44.5479,71.0375,66.0588,44.226,63.3372
407,201.8043,43.6616,73.6137,52.3871,36.53,78.1728
407.25,218.173,43.8569,72.0958,50.1326,43.789,63.9694
407.5,228.0292,43.3636,72.4652,51.1365,43.789,71.4674
408,226.5578,41.9374,88.3251,70.7119,37.798,77.9713
408.5,213.283,40.3056,81.9956,57.2121,31.746,81.5596
409.25,214.6962,41.6307,87.1716,63.0948,37.798,76.7568
409.75,198.4329,40.6204,91.5495,70.2569,32.349,78.0442
410,195.3111,40.4771,91.6441,60.0081,41.189,64.0005
410.25,190.7082,42.2239,93.9032,59.7268,37.382,66.641
411,159.5873,50.0109,92.8837,66.8946,38.547,63.5141
411.5,154.1334,54.7651,91.506,57.4374,41.834,59.0998
412.75,85.8163,59.0229,96.4803,62.5049,56.061,69.1303
413.25,82.9447,51.3809,99.2281,73.6146,41.938,64.5013
415.75,115.5366,46.6674,85.9879,54.3998,40.482,64.7979
416,113.0977,48.3043,80.7726,71.7019,37.382,85.3249
416.25,98.9352,49.9723,83.2156,77.9766,37.382,72.2118
417,79.7438,59.0745,80.2882,34.4762,39.317,92.8146
417.5,114.2535,63.2439,80.7992,56.9701,29,85.99
418.75,124.3914,62.4037,83.6707,19.9524,48.677,81.4086
419,123.1199,64.5448,95.0862,32.4999,45.744,87.1604
419.25,121.0958,65.6032,88.4896,18.201,45.744,86.777
419.75,119.0536,63.5687,94.8341,29.4638,45.744,85.7637
420.5,110.0448,61.5185,85.5095,28.8011,54.106,98.4684
421.75,124.8545,58.9235,79.8409,20.8653,65.816,130.6503
422,117.3497,56.9469,82.0416,34.6977,49.509,113.5654
422.25,115.0441,54.3407,82.5379,29.1801,58.702,127.9659
422.75,123.552,49.2955,80.1114,36.2376,49.509,117.3959
423,121.9058,48.2225,87.0388,36.81,54.106,100.5317
423.5,124.593,48.6965,87.6344,33.0374,54.106,105.7728
424.75,116.0631,53.1936,82.8255,31.392,37.653,64.4209
425.25,113.1119,60.3973,77.9818,41.7668,53.274,43.4263
425.75,122.2217,63.5223,79.8601,45.6045,45.744,69.3003
426,124.6129,64.74,78.7583,49.4167,60.387,51.1592
426.5,146.0786,63.2391,78.8897,54.4102,53.274,68.0049
427.5,171.4715,65.1605,82.3308,48.7082,60.803,51.8207
427.75,168.219,63.1165,83.8866,52.6138,60.803,56.8917
428.25,156.068,56.9969,84.4933,53.0782,68.333,68.0861
428.75,190.399,53.8017,79.1028,56.7902,66.232,81.7824
429,221.7149,54.2841,76.061,26.9866,43.227,73.7848
429.5,236.6764,51.8031,74.1233,46.6154,55.77,77.7701
430.5,200.6366,53.501,72.4918,26.7352,30.685,73.5184
431.25,185.0414,54.2452,73.0888,33.5502,44.059,73.0266
432,183.1218,61.424,70.8645,71.114,64.984,66.3679
432.5,160.5637,64.8136,71.4295,72.5449,49.925,69.8613
433.5,138.2426,63.6232,74.9597,74.0664,64.984,55.3486
433.75,131.7334,62.3068,76.4556,70.9677,64.984,49.6901
434.25,126.175,62.788,77.4609,72.8331,64.984,75.7626
434.75,109.4894,64.0843,78.7352,38.6626,54.106,80.3355
435,116.1829,65.0735,87.1436,43.1814,50.757,83.1857
435.25,114.6687,65.0175,81.1259,42.7545,53.274,82.9094
435.5,109.0493,63.2706,83.4562,45.1439,53.274,85.5744
