DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-49
151.5,130.0033,81.5618,123.02,58.6003218
152,126.7601,88.8539,120.74,57.5654779
152.25,124.9754,92.3099,125.08,56.61762866
152.5,123.2056,94.0384,125.08,57.94782827
153,120.0656,94.679,126.97,56.21790001
153.25,118.8658,93.7405,120.74,57.04274577
154,115.031,93.1535,122.04,57.05142221
154.25,113.7985,94.6079,126.97,55.47073568
155,109.9964,95.9998,127.69,60.9241756
155.25,108.8684,97.5383,122.04,57.58864877
155.75,108.4614,101.4198,127.69,62.594793
156,109.261,101.1459,120.31,61.66024399
156.75,110.8546,99.6785,120.31,65.65799062
157,110.137,104.4045,119.87,66.77396732
157.75,106.7325,106.0944,119.87,67.70247736
158.5,102.8009,100.069,124.65,68.23034551
158.75,101.7044,100.4399,124.65,67.99809554
159.5,99.1114,93.9731,128.91,70.2385038
159.75,99.2718,92.4846,128.91,70.73415647
160.5,103.584,90.1211,128.3,76.3270323
160.75,105.4498,86.4068,128.3,76.71685863
161.5,107.9991,79.828,127.11,80.444812
162.25,108.7029,77.768,123.35,79.41167581
162.5,108.9518,76.9086,123.35,78.65450702
163.25,109.6489,76.8399,125.08,72.34659001
163.5,110.0102,78.1948,125.08,71.4797257
164,112.866,77.0111,127.9,67.95661296
164.25,115.0339,76.7084,125.95,70.5620874
164.5,117.0302,77.0291,125.95,68.92080098
165,120.6119,80.4471,129.12,54.7648154
165.25,122.0704,82.7091,127.9,64.68009164
166,126.8532,87.7402,129.17,49.98006047
166.25,128.6093,89.789,129.12,51.76225012
167,135.2266,84.9827,131.6,46.95282725
167.25,137.1878,83.7863,129.17,47.29877494
168,127.869,82.7618,126.17,41.80989396
168.75,123.4581,77.9557,126.17,43.7225317
169,124.3775,78.4829,129.68,42.89960792
169.75,127.0448,76.2087,129.68,40.36027184
170,127.9021,77.8883,127.36,57.31689385
170.75,130.5029,86.1593,127.36,51.44421384
171.5,130.1275,84.8778,131.82,67.20453314
171.75,126.7831,84.1196,131.82,67.03903275
172.5,118.7031,91.7921,129.86,69.17731462
172.75,118.0654,94.9196,129.86,65.52341028
173.75,118.9145,94.0956,129.32,67.78647785
175.25,119.5046,87.8834,129.6,68.17958019
175.5,118.4563,89.673,129.6,68.57455491
176.25,114.9305,92.0155,126.31,67.28691844
176.5,114.0877,93.1588,126.31,67.37596302
177.25,111.5756,94.9778,127.55,70.29809764
177.5,110.7516,93.8051,127.55,69.15738296
178,109.0738,92.392,129.54,68.67699882
178.25,108.2844,92.922,132.1,67.68653764
179,106.067,94.4356,131.6,71.72452022
179.25,105.4007,94.8529,129.54,67.55366428
180,104.921,96.2599,131.06,70.0732065
180.25,106.0506,95.0804,131.6,71.88653534
181,112.2267,88.7368,129.77,71.55139795
181.25,114.4983,88.2845,131.06,68.65499493
181.75,118.8303,84.195,129.77,69.30653797
182,121.1683,83.4779,128.56,77.50098592
182.75,127.3358,81.0277,128.56,76.28566598
183,127.4826,80.0263,130.15,71.22530262
183.75,119.3636,80.2394,130.15,70.67547003
184.75,113.9949,77.7744,130.46,68.99398746
185.5,116.7676,89.4024,127.37,67.66512592
185.75,117.7492,89.8083,127.37,67.87396186
186.5,120.5213,86.6738,129.25,66.55997574
186.75,121.4677,86.267,129.25,64.6629673
187.5,124.275,86.5531,132.68,69.7446366
187.75,125.1571,87.2237,132.68,69.6831936
188.5,127.9672,88.2001,129.28,70.08963641
189.25,130.3392,85.7236,129.69,65.96798442
189.5,130.6333,86.8086,129.69,66.81942798
190.25,130.4185,90.5403,135.4,68.49490641
