DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-46
241.5,135.9436,74.3973,111.46,79.3718
241.75,139.4936,78.477,111.46,79.6869
242.5,134.207,90.0654,115.24,79.1541
243.25,127.8773,98.3184,112.87,77.9693
243.5,125.9839,101.1018,112.87,77.9621
244.25,111.2653,107.5376,111.33,79.5487
244.5,105.9993,104.6669,111.33,80.1481
245.25,104.6292,85.2926,115.09,81.9916
245.5,103.996,81.0807,115.09,82.4466
246,102.0975,85.0382,107.71,91.9027
246.25,101.4347,90.1218,112.92,87.2587
247,100.9606,104.6899,105.32,94.658
247.25,101.1259,110.1822,107.71,93.2046
248,92.2663,77.7934,109.45,93.0378
248.25,87.1058,65.8259,105.32,94.838
249,74.3085,64.5581,107.71,88.6831
249.25,72.9802,62.5507,109.45,91.6809
249.75,77.2618,61.8669,107.71,89.3362
250,79.5385,64.1673,112.05,92.0161
250.75,79.1213,65.34,112.05,91.0348
251,80.5733,63.1389,115.75,88.8969
251.75,83.1184,59.3462,115.75,90.4029
252.75,79.6359,52.2549,130.51,86.4103
253.5,80.5776,57.893,111.76,90.7939
253.75,81.3304,59.7318,111.76,92.1846
254.5,84.7463,60.6149,108.58,95.9441
254.75,86.2833,60.9899,108.58,96.5391
255.5,90.8484,58.8375,107.57,97.2778
255.75,92.1141,58.1325,107.57,96.9671
256.25,94.8494,55.7342,100.11,96.9609
256.5,95.5234,55.544,100.11,97.9189
257.25,94.9448,53.2365,105.54,101.2513
258.25,90.4634,42.4548,92.01,100.2193
258.5,89.7762,40.7883,92.01,100.6521
259.25,91.2729,41.9038,112.6,102.5251
259.5,92.1934,44.8062,112.6,102.9225
261,98.123,80.4526,102.02,107.3809
262,92.1942,62.8962,102.28,99.1973
262.25,90.8735,62.4449,102.02,104.8673
263,89.0041,70.0236,104.31,95.0186
263.25,87.9344,71.3313,102.28,98.0073
264,90.7063,68.0333,110.38,90.7166
264.25,91.5939,65.7264,104.31,93.4852
264.75,93.4653,62.0513,110.38,91.3544
266,98.4594,62.8289,107.77,108.239
266.75,99.4159,60.6708,107.77,105.1374
267,103.2672,59.3392,119.16,117.8648
268.75,94.8339,68.9093,119,126.2052
269.5,97.492,68.3106,115.26,138.3425
269.75,98.1517,66.7502,115.26,142.3779
273.5,113.25,62.922,112.8,152.7579
274.25,127.6479,67.8291,117.51,158.9795
274.5,131.4951,67.8097,117.51,160.3339
275.25,130.7516,66.5769,116.25,164.6959
275.5,123.0453,67.1538,116.25,169.0474
276.25,100.2064,68.811,114.08,186.2713
276.5,98.8769,67.2236,114.08,189.0325
277,98.867,60.4645,110.64,185.8487
277.25,99.1051,58.2075,116.83,191.4226
277.5,99.1694,57.5157,116.83,188.0433
278.25,102.9342,62.6469,110.64,186.5575
283,79.651,74.1448,104.67,147.5143
283.75,91.9249,61.7737,104.67,144.8757
285,92.611,54.9719,109.09,180.3396
285.75,81.757,68.9132,109.09,177.7343
286.75,93.7372,85.9437,115.09,172.3421
287.5,112.727,116.8048,104.89,148.9353
287.75,118.4027,114.9541,104.89,141.6496
288.5,113.1261,65.886,108.79,128.3411
288.75,109.2082,50.9232,108.79,126.5703
290.5,89.7159,56.9448,113.01,107.0211
290.75,90.016,57.1745,113.01,103.7665
293.25,102.4927,51.174,120.07,96.7552
293.5,104.0433,50.8547,120.07,97.9467
294.25,103.0421,48.575,106.84,95.7136
294.5,102.5954,49.1492,106.84,93.2247
295,100.77,58.3416,109.88,82.3714
295.25,99.3707,62.1815,101.63,88.5653
295.5,98.0379,63.3789,101.63,87.3047
296,97.3697,65.1868,110.24,75.5487
296.25,96.9772,64.5546,109.88,79.9411
297,98.2222,66.1557,102.5,71.2034
297.25,99.382,67.1957,110.24,74.6788
298,104.6425,66.8008,111.4,62.4185
298.25,106.7406,67.3079,102.5,68.7183
299,111.4107,79.914,106.84,63.4572
299.25,112.7659,85.2556,111.4,62.5717
300,112.6489,79.3027,110.32,60.061
300.75,99.8839,56.1274,110.32,60.2098
301,94.714,49.1629,118.35,72.8391
301.75,78.2005,46.3059,118.35,70.1563
302,76.7187,45.7782,110.32,64.8717
302.75,89.3876,47.1252,110.32,67.675
303,94.3235,48.1218,109.23,66.4078
303.75,100.6326,52.1682,109.23,64.9009
304.75,102.5834,59.6267,115.9,69.9578
306.5,97.9181,49.473,109.88,73.75
306.75,96.5004,54.7784,109.88,74.4105
307.5,98.1237,92.326,114.66,73.3699
307.75,100.9364,100.769,114.66,72.5742
308.5,100.0946,91.1706,112.49,73.8022
308.75,99.6471,82.7039,112.49,74.8101
309.25,98.6785,72.1574,112.6,75.662
309.5,98.254,69.9251,112.6,75.9543
311.25,105.7064,71.4325,108.84,74.5503
311.5,107.0127,71.2598,108.84,71.2645
312.25,129.9653,68.7227,114.66,59.5719
312.5,141.1653,67.0396,114.66,54.9341
313,144.1138,64.3469,114.88,35.5617
313.25,132.2774,61.455,115.82,42.2267
314,86.5775,66.5479,112.36,31.7773
314.25,80.3182,66.9499,114.88,33.5352
315,85.5684,67.0862,109.88,34.7901
316,84.9422,65.932,109.01,39.7913
316.25,86.0154,64.9375,109.88,36.3543
317,96.0577,63.3248,109.45,37.0221
317.25,93.9701,60.639,109.01,39.2714
318,92.1113,61.7481,113.44,37.775
318.75,90.3182,72.6627,113.44,37.5194
319,89.1567,75.5772,114.88,38.5892
319.75,88.9802,77.495,114.88,38.8587
320,87.6641,76.9804,117.82,36.8411
320.75,90.0861,65.3526,117.82,37.3609
321,96.2154,58.6679,110.32,37.1898
321.75,108.0116,46.8811,110.32,35.6143
322.5,103.4899,58.8648,115.96,43.1511
322.75,101.4413,66.8015,115.96,47.3393
323.5,92.419,71.5466,116.34,59.5495
323.75,91.0496,69.0473,116.34,62.7872
324.5,98.3094,65.3867,110.97,59.0672
324.75,100.4968,65.2456,110.97,56.8113
325.5,90.4529,68.7783,108.15,50.041
325.75,93.8538,70.7468,108.15,47.6656
326.5,105.146,72.2087,108.15,37.4228
326.75,102.8727,71.765,108.15,34.6591
327.25,97.5206,69.5345,109.54,33.209
327.5,95.1981,67.4761,109.54,34.9881
328.25,94.2865,59.3013,111.84,42.7265
328.5,97.3998,56.7805,111.84,44.6618
329.25,97.0479,62.2979,112.05,46.5271
329.5,96.5037,64.2335,112.05,45.4356
330.25,97.5793,69.545,104.09,43.0386
330.5,98.1224,76.5336,104.09,42.9912
331,98.8668,95.576,105.11,45.4588
331.25,98.8159,98.4785,104.74,43.6748
332,94.5217,73.4838,94.94,46.5593
332.25,90.838,62.7805,105.11,46.247
333,90.4283,61.7059,95.88,46.51
333.25,92.3224,62.1324,94.94,46.1637
334,93.479,59.5876,102.21,51.1755
334.25,93.744,60.9588,95.88,47.6777
335,96.6896,64.1931,109.74,51.4286
335.25,97.784,63.468,102.21,51.7677
335.75,100.1707,61.3506,109.74,51.7877
336,101.2784,59.3506,115.96,49.0467
336.75,101.6556,50.9639,115.96,49.3861
337,98.8373,48.6631,115.96,47.871
337.75,91.1495,47.3539,115.96,48.2598
338,90.9423,46.3843,112.27,47.8284
338.75,94.9789,49.4446,112.27,47.6897
339,97.5345,51.9503,97.72,45.4593
339.75,99.7715,59.4911,97.72,45.7785
340.5,93.1267,74.5876,95.12,46.4938
340.75,92.2672,73.8521,95.12,47.2594
342.5,98.0052,67.5713,89.04,32.5349
343.5,93.1121,66.2975,86,26.3202
343.75,96.6971,68.4441,86,28.1133
344.5,103.0929,69.7979,90.34,35.9601
