DEPTH,BONA0014,BONA0019,BONA0042,BONA0047,BONA0049,BONA0053,BONA0054
50,49.392,55.7812,39.3928,89.8662,66.1191,88.5003,82.8318
50.25,49.853,48.7326,41.7857,88.8413,66.5132,89.1372,82.5084
50.5,49.538,51.0353,41.3948,88.1263,66.301,89.0662,82.1544
50.75,49.377,53.4082,40.4624,87.9881,64.5231,88.7979,81.7883
51,49.0106,62.1828,36.5021,88.3746,62.2419,87.6843,81.4872
51.25,49.393,58.1536,38.0959,89.7356,61.4389,86.3681,81.3902
51.5,49.378,60.4861,37.1825,91.0101,60.9083,84.6076,81.6258
51.75,49.2556,61.3567,36.541,92.1241,62.6526,82.7568,82.2325
52,48.4349,59.8269,38.5106,92.7703,64.5615,80.8549,83.1343
52.25,48.6185,61.4579,36.6207,92.5511,66.4184,78.9443,84.2808
52.5,48.0585,60.741,37.1891,91.9185,67.9272,77.5045,85.7754
52.75,47.9749,60.2922,37.7898,90.5228,66.5479,76.1286,87.7561
53,51.3843,56.0227,38.4211,88.8836,64.8267,75.7565,90.236
53.5,50.2279,57.842,38.9431,84.9326,59.2721,75.9393,96.0576
53.75,50.9792,56.9209,38.7438,83.4804,58.6355,76.443,98.6777
54,51.5765,56.2298,37.7505,82.3637,60.0245,76.7298,100.495
54.25,51.6888,55.8006,38.2519,81.8618,64.8523,77.0062,101.1667
54.5,51.8788,55.5966,38.1118,81.7819,69.3568,76.5432,100.7833
54.75,51.8515,55.9093,37.9593,82.4737,73.4792,76.0619,99.757
55,51.6514,56.9798,35.3549,83.706,77.6392,74.9366,98.5655
55.25,51.2056,56.7657,37.3781,85.9246,81.8304,73.8077,97.5592
55.5,50.7256,57.2761,36.8083,88.4879,85.1474,72.5563,96.9228
55.75,50.8464,57.1135,36.0116,91.6791,87.9593,71.3216,96.5873
56,53.7279,61.1444,35.6597,94.6486,89.5958,70.3866,96.2283
56.25,52.4962,57.5857,34.7659,97.2153,90.7787,69.5004,95.5418
56.5,53.3863,58.2245,34.8627,99.2035,89.0295,69.1962,94.4154
56.75,53.8179,59.6789,35.0858,100.1427,86.589,68.9811,92.8635
57,53.5738,67.7397,36.5751,100.4343,81.5789,69.5501,90.9247
57.25,53.6964,62.8764,36.1853,99.5544,76.2735,70.1795,88.6154
57.5,53.7314,64.6024,36.5984,98.7285,73.2081,71.2249,86.0194
57.75,53.6939,66.1869,36.7247,98,70.2358,72.1322,83.3449
58,54.1174,69.3556,34.1217,97.7957,68.0076,72.2659,80.8324
58.25,53.4889,68.5787,36.0531,98.5353,66.034,72.1662,78.6426
58.5,53.4439,69.3805,35.3854,99.7662,65.3975,70.9145,76.8323
58.75,53.6423,69.3685,34.7208,101.8798,64.8545,69.6296,75.3703
59,57.2249,69.2604,34.6603,104.267,64.5955,68.1989,74.2295
59.25,54.7118,69.3235,33.9364,107.1447,64.708,66.9388,73.4731
59.5,55.4418,69.2936,33.9014,109.2613,65.5569,66.3502,73.1924
59.75,56.2748,69.3077,34.1515,110.0168,66.1588,66.0083,73.4214
60,61.0131,64.8718,35.5598,110.0667,66.4241,66.5424,74.049
60.25,58.2873,67.9811,35.3772,108.8573,66.5195,67.2349,74.7676
60.5,59.4774,66.7178,35.7813,107.4872,66.4523,68.4382,75.2958
60.75,60.3981,65.7688,36.0884,105.831,66.203,69.5357,75.5077
61,57.4443,65.7926,34.2469,104.3415,65.8317,70.3224,75.5064
61.25,60.9675,64.9673,35.0327,103.1483,65.7666,70.9191,75.5116
61.5,60.1725,65.0784,34.6218,102.1207,65.8414,71.0043,75.6384
61.75,59.0143,65.4771,34.3362,101.3868,65.7872,71.1035,75.8614
62,53.5803,59.619,38.2388,100.7322,65.6953,71.2371,76.067
62.25,56.0687,64.5988,34.8099,100.2178,66.0026,71.3254,76.0974
62.5,54.9137,63.3652,35.8104,100.0685,66.374,71.3103,75.8647
62.75,54.0703,61.425,37.0048,100.5634,65.9188,71.0383,75.4557
63,54.2857,60.3049,43.1782,101.5845,65.4478,70.2258,75.0641
63.25,53.388,60.1314,39.0796,103.5323,65.7131,69.3657,74.8587
63.5,53.533,60.6078,40.059,105.8076,66.1042,68.4125,74.8489
63.75,53.8257,60.4787,41.5145,108.6583,67.3774,67.811,74.8096
64,53.4855,54.8285,54.667,111.3942,68.5266,67.8448,74.5046
64.25,54.5417,59.3938,45.1133,113.9288,69.2163,68.2029,73.896
64.5,54.5667,58.4315,47.8876,116.0136,70.4343,69.1051,73.123
64.75,54.2305,56.6424,51.1274,117.3113,72.8841,69.9287,72.4359
65,49.1679,50.6666,62.6397,117.947,74.6511,70.6297,72.071
65.25,52.5387,52.6242,58.1817,117.427,75.3408,71.0503,72.1018
65.5,51.3637,50.5568,60.5087,116.4217,76.6613,71.0635,72.4313
65.75,50.2379,50.6023,62.2997,114.5711,78.6774,71.0252,72.8972
66,45.5755,51.1822,52.8772,112.2526,78.2676,70.9173,73.3397
66.25,48.1213,51.0138,61.6641,109.121,75.977,71.0577,73.725
66.5,47.1012,51.3345,59.2556,105.8897,75.3503,71.5121,74.1644
66.75,46.2455,51.2635,56.2109,102.4854,75.6156,72.2339,74.7431
67,44.1785,50.3827,45.608,99.2211,75.3713,73.2713,75.4565
67.25,45.0721,50.9536,50.3859,96.1989,74.9469,74.1325,76.2606
67.5,44.7571,50.7285,48.0928,93.3024,75.9254,74.7997,77.1359
67.75,44.4585,50.5544,46.6568,90.6227,77.1986,75.1318,78.1459
68,45.3362,49.7908,46.7395,88.4788,76.435,75.1192,79.3921
68.25,44.0934,50.2436,45.4042,87.2577,75.4817,75.0495,80.9518
68.5,44.2284,50.1044,45.6116,86.2405,78.1923,74.9249,82.8692
68.75,44.6312,49.9633,46.1939,85.5736,80.7554,74.8889,85.1568
69,47.5528,46.8571,46.7697,84.9247,81.8695,74.9322,87.7924
69.25,46.06,49.1969,47.2715,84.3065,82.6922,74.7231,90.6702
69.5,46.805,48.584,47.1365,83.9288,82.1618,74.3025,93.5259
69.75,47.3128,47.721,46.9578,83.9626,81.041,73.7993,95.9676
70,49.9239,45.3829,50.6676,83.8556,78.2822,73.2314,97.623
70.25,47.8186,45.9821,46.9884,83.5082,75.8041,73.1314,98.2535
70.5,48.1137,45.176,47.9348,83.7442,73.8413,73.3725,97.8597
70.75,48.7988,45.244,49.1853,84.9743,73.0602,73.9826,96.6502
71,54.4704,50.0367,47.8239,86.7155,73.781,74.8434,94.8597
71.25,51.2205,46.4035,50.9739,89.3256,74.9336,75.5016,92.629
71.5,52.7106,47.4454,50.9415,91.5793,76.472,76.0317,90.0713
71.75,53.8104,48.7482,49.3984,93.2284,78.0759,76.469,87.3927
72,55.6967,50.8939,44.4676,94.3437,79.7206,76.8517,84.8456
72.25,54.9587,51.1534,46.2121,94.5554,79.5058,77.4051,82.7205
72.5,55.2538,52.1354,45.0344,94.2696,78.5072,78.0516,81.2338
72.75,55.5017,51.5256,44.4995,93.1435,76.4098,78.5441,80.3852
73,54.5147,47.4008,42.7869,92.3484,74.0224,78.9587,80.0202
73.25,55.6118,50.0094,44.7546,92.111,73.6399,79.2682,79.9209
73.5,55.2118,49.1198,44.5438,92.2906,73.5336,79.5284,79.8594
73.75,54.8447,48.1733,44.1921,93.1714,73.1833,79.9646,79.6889
74,50.3315,47.705,37.3922,93.9192,72.9389,80.4769,79.3747
74.25,53.947,48.5855,41.3036,94.4437,74.6897,81.0203,78.9566
74.5,53.112,49.5946,39.5717,94.676,76.203,81.5761,78.5529
74.75,51.9215,48.6616,38.2369,94.4192,76.2811,81.8612,78.3729
75,50.2973,45.5004,44.4056,93.8782,76.5483,82.0473,78.5939
75.25,49.4688,46.4922,37.989,92.8625,77.4502,82.032,79.2868
75.5,49.4238,45.3861,39.3401,92.1551,77.4934,81.9493,80.4193
75.75,49.6872,45.4221,41.8251,91.9615,75.6895,82.1062,81.7876
76,46.6367,48.9737,47.6321,92.0361,72.5775,82.3362,82.9933
76.25,50.1514,46.0247,45.9755,92.5567,67.5443,83.4071,83.5155
76.5,49.1563,46.6062,47.2235,93.1619,62.8214,84.7107,83.0359
76.75,47.9917,47.782,47.6562,93.9077,58.418,86.1132,81.668
77,46.7513,53.3744,46.2813,94.4923,53.5834,87.5404,80.0528
77.25,45.7692,50.3295,47.1363,94.8099,48.4372,87.3129,79.0273
77.5,45.4492,51.6437,46.8909,94.2845,45.7221,86.7158,79.0781
77.75,45.7512,52.5377,46.7525,92.3661,44.2141,84.5359,80.1581
78,53.4801,52.5951,42.2781,89.9696,43.7257,82.0422,81.9287
78.25,48.1048,53.6411,45.6687,86.7849,43.5666,79.237,83.9484
78.5,49.8549,53.8289,44.2512,84.0181,43.5864,76.3776,85.8572
78.75,51.645,53.2456,43.0463,81.9389,43.6395,73.4901,87.4298
79,59.039,47.4797,45.9744,80.8637,43.5356,70.5984,88.4744
79.25,55.1832,51.2979,42.0544,81.4367,43.3982,67.8274,88.7018
79.5,56.7382,50.0067,42.3012,82.7129,42.1249,65.0718,87.841
79.75,58.0339,48.7734,43.9058,85.1411,40.9685,63.1326,85.8715
80,61.0619,42.1363,50.6496,86.9728,40.7907,61.2813,83.111
80.25,59.9756,45.619,48.2342,87.8294,41.0084,60.208,80.0798
80.5,60.8357,43.853,50.2143,88.1251,42.8652,59.2024,77.3096
80.75,61.2169,42.962,50.7129,87.5061,44.7519,58.2743,75.1997
81,54.368,42.2212,44.9639,86.8271,46.7148,57.3514,73.9326
81.25,60.1685,41.9067,49.638,86.0506,48.9201,56.1759,73.4449
81.5,58.4484,41.7217,48.218,85.9545,51.5384,54.9883,73.4862
